step,reward_mean_norm,reward_mean_raw,cov_rew_mean,col_rew_mean,aux_rew_mean,ep_len_mean,cov_per_step_mean,aux_per_step_mean
3256320,0.0129,0.6980,352.3380,-7.6000,126.9614,659.69,4.0882,0.1846
3268608,0.0121,0.6549,353.4280,-7.6800,126.1173,658.16,0.8636,0.1865
3280896,0.0126,0.6811,356.2690,-7.6000,127.2869,671.00,0.8893,0.1846
3293184,0.0113,0.6113,359.4080,-7.6000,129.1905,687.01,0.8555,0.1833
3305472,0.0114,0.6138,360.7370,-7.7600,134.0139,703.38,0.8238,0.1861
3317760,0.0120,0.6481,360.2870,-7.7600,135.3443,708.68,2.2947,0.1848
3330048,0.0132,0.7106,362.1160,-7.7600,137.3587,720.06,3.1923,0.1821
3342336,0.0120,0.6466,366.0330,-7.6000,139.3957,728.51,3.1861,0.1825
3354624,0.0132,0.7140,362.7420,-7.6000,134.8510,709.03,5.6992,0.1799
3366912,0.0132,0.7139,362.1010,-7.6800,132.4635,693.82,5.7100,0.1802
3379200,0.0135,0.7272,355.8170,-7.6800,124.3826,652.71,4.2528,0.1819
3391488,0.0130,0.7034,353.2930,-7.6800,119.8062,630.39,3.3651,0.1817
3403776,0.0117,0.6315,353.5350,-7.7600,121.3042,640.88,3.3512,0.1816
3416064,0.0129,0.6939,352.0150,-7.8400,124.0181,650.46,1.5882,0.1827
3428352,0.0114,0.6140,352.2719,-7.7600,127.4829,664.96,1.5805,0.1836
3440640,0.0124,0.6672,359.4570,-7.7600,131.1250,685.39,1.5795,0.1814
3452928,0.0148,0.7983,356.1040,-7.7600,125.3436,663.54,1.6111,0.1803
3465216,0.0155,0.8369,346.1590,-7.8400,112.9550,589.49,3.7996,0.1822
3477504,0.0117,0.6316,352.7210,-7.6800,119.7196,621.77,2.9758,0.1853
3489792,0.0109,0.5867,350.5750,-7.7600,115.3522,606.52,2.9921,0.1837
3502080,0.0118,0.6375,354.8500,-7.6000,121.0323,636.21,3.0275,0.1835
3514368,0.0134,0.7240,353.5960,-7.6000,122.5518,640.62,2.9869,0.1841
3526656,0.0130,0.7003,351.7140,-7.6000,123.3165,651.16,2.9245,0.1809
3538944,0.0113,0.6110,351.6600,-7.7600,125.7605,672.90,2.9090,0.1784
3551232,0.0115,0.6215,355.2010,-7.6800,129.5164,684.47,2.9262,0.1804
3563520,0.0131,0.7066,345.5490,-7.8400,119.8883,633.39,2.9132,0.1810
3575808,0.0116,0.6253,347.6950,-7.6800,126.8362,669.89,4.6325,0.1797
3588096,0.0129,0.6971,353.0109,-7.6000,129.0151,674.05,4.6352,0.1814
3600384,0.0114,0.6188,367.7330,-7.5200,143.2534,744.10,2.5807,0.1850
3612672,0.0137,0.7389,367.1680,-7.4400,138.6803,716.62,2.6558,0.1854
3624960,0.0111,0.5999,367.0130,-7.6000,138.0237,717.25,2.6387,0.1850
3637248,0.0132,0.7106,377.3330,-7.4400,146.0101,757.45,2.5986,0.1861
3649536,0.0135,0.7309,372.0690,-7.4400,136.5488,713.52,2.5159,0.1850
3661824,0.0118,0.6384,372.8010,-7.3600,139.6811,726.57,2.4696,0.1859
3674112,0.0112,0.6066,366.7570,-7.4400,135.4699,702.73,2.4360,0.1863
3686400,0.0122,0.6618,363.9870,-7.5200,133.9613,699.98,2.3933,0.1843
3698688,0.0111,0.5992,361.4959,-7.5200,132.3430,691.87,2.4096,0.1831
3710976,0.0110,0.5956,364.5720,-7.4400,140.7917,731.44,2.4260,0.1842
3723264,0.0119,0.6439,372.1970,-7.3600,153.7617,789.46,0.7277,0.1891
3735552,0.0137,0.7393,364.9870,-7.5200,146.0510,748.95,2.3191,0.1876
3747840,0.0122,0.6574,362.2770,-7.4400,143.7554,732.57,2.3379,0.1883
3760128,0.0143,0.7701,363.0561,-7.5200,142.9473,719.17,2.3342,0.1906
3772416,0.0120,0.6481,359.0550,-7.5200,137.4066,695.09,2.3590,0.1908
3784704,0.0121,0.6538,357.1730,-7.5200,131.4525,668.80,2.3779,0.1902
3796992,0.0121,0.6545,360.2650,-7.4400,135.6580,691.75,2.5251,0.1900
3809280,0.0118,0.6348,366.3480,-7.5200,141.3427,716.88,2.5258,0.1908
3821568,0.0136,0.7328,366.5519,-7.4400,141.7406,717.45,2.4746,0.1933
